ID,Topics,Text_answer,NegPos_answer,text_output,NegPos,Cosine_Similarity,IsCorrect
1,Room,,,"New, comfortable apartments.",Positive,,False
1,Staff,Staff is extremely helpful and easy to communicate with ,Positive,Staff is extremely helpful and easy to communicate with.,Positive,1.0000000000000002,True
1,Location,"close to the airport, to very clean beach.",Positive,"close to the airport, to very clean beach.",Positive,1.0000000000000007,True
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Positive,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday.",Positive,0.9999999999999999,True
2,Room,,,although not big.,Negative,,False
2,Room,"The room was very clean, well decorated and modern, although not big.",Positive,"The room was very clean, well decorated and modern.",Positive,0.7765145304745156,True
2,Staff,The staff was very nice and helpful!,Positive,The staff was very nice and helpful. all staff was very kind and helpful.,Positive,0.8903443065535784,True
2,Food,"Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great, and all staff was very kind and helpful.",Positive,"the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great.",Positive,0.7744197454069118,True
2,Facility,,,"I like hotels with a family atmosphere, cozy and not big.",Positive,,False
3,Location,the location is great and near the airport. bus stop is very close.,Positive,the location is great and near the airport. bus stop is very close.,Positive,1.0,True
4,Room,,,Clean,Positive,,False
4,Staff,Great stuff,Positive,Great stuff,Positive,1.0000000000000002,True
4,Price,,,Great Quality/price,Positive,,False
5,Room,Clean and modern with very comfortable beds,Positive,Clean and modern with very comfortable beds.,Positive,1.0000000000000004,True
5,Location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Positive,in a very convenient location. An easy stroll to numerous nice restaurants and a great beach.,Positive,1.0000000000000007,True
6,Room,The room was exceptionally clean with a really comfortable bed,Positive,The room was exceptionally clean with a really comfortable bed.,Positive,1.0000000000000002,True
8,Staff,lovely personal,Positive,lovely personal,Positive,1.0000000000000002,True
8,Location,nice location,Positive,nice location,Positive,1.0000000000000002,True
8,Facility,,,renovated,Positive,,False
9,Staff,very helpful host showed us how nearby bus takes to town-cntre ,Positive,very helpful host showed us how nearby bus takes to town-centre (and airport by the way so no need for 21 euro taxi),Positive,0.5042231899036942,False
9,Location,,,nearby bus takes to town-centre (and airport by the way so no need for 21 euro taxi),Positive,,False
9,Food,,,couldn't eat breakfast due to dietary restrictions,Negative,,False
9,Price,,,no need for 21 euro taxi,Positive,,False
10,Room,Great modern room comfortable bed,Positive,Great modern room comfortable bed,Positive,1.0000000000000002,True
10,Location,quiet location,Positive,quiet location,Positive,1.0000000000000002,True
11,Room,The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.,Positive,The rooms are spacious and clean great to stay. I even got an upgrade which is always so nice.,Positive,1.0000000000000002,True
11,Staff,"The staff here are amazing beyond expectations..*****
 Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
 Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great it's like a real caring family set up ...",Positive,"The staff here are amazing beyond expectations. Maria at reception is just great she really took time to explain where to go how to get there and so helpful. Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent smile. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great it's like a real caring family set up.",Positive,0.9929189282018989,True
11,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,Positive,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros.,Positive,1.0,True
11,Food,Oh yeah the food is great to and very reasonable prices ..,Positive,the food is great too and very reasonable prices.,Positive,0.6787551892030776,False
11,Price,,,very reasonable prices.,Positive,,False
12,Room,Very clean and comfortable.,Positive,Very clean and comfortable.,Positive,1.0,True
12,Staff,The staff were exceptional. So helpful and friendly. Went out of their way for us.,Positive,The staff were exceptional. So helpful and friendly. Went out of their way for us.,Positive,1.0000000000000002,True
12,Food,The breakfast was lovely with room service too.,Positive,The breakfast was lovely with room service too.,Positive,1.0000000000000002,True
13,Room,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.",Positive,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.",Positive,1.0000000000000002,True
13,Staff,"The staff are so welcoming, we felt like staying with family.",Positive,"The staff are so welcoming, we felt like staying with family.",Positive,1.0000000000000002,True
13,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,1.0000000000000009,True
14,Room,You can hear the airplanes coming and leaving from the airport all the time,Negative,,,,False
14,Staff,The receptionist didn't speak English properly,Negative,The receptionist didn't speak English properly.,Negative,1.0000000000000002,True
14,Location,,,You can hear the airplanes coming and leaving from the airport all the time.,Negative,,False
14,Location,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair. There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,Positive,"close to the airport and this hotel did that purpose more than fair., There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.",Positive,0.8990797009207266,True
14,Facility,,,"you have a feeling that people are living in the hotel, rather than staying at a hotel.",Negative,,False
15,Staff,,,The staff make it - particularly reception and the dining room.,Positive,,False
15,Location,,,it is a bit on the edge of Larnaca,Negative,,False
15,Location,"it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Positive,"reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach., with frequent busses to the centre.",Positive,0.7843570292617102,True
16,Room,"I liked the rooms- they are spacious, clean, the window view is nice too.",Positive,"I liked the rooms- they are spacious, clean, the window view is nice too.",Positive,1.0,True
16,Food,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",Positive,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",Positive,1.0000000000000002,True
17,Room,Our room had a balcony with great view of the sea and surrounding area.,Positive,Our room had a balcony with great view of the sea and surrounding area.,Positive,0.9999999999999994,True
17,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,Positive,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,Positive,1.0,True
18,Staff,"extremely friendly reception and dining staff,",Positive,extremely friendly reception and dining staff,Positive,1.0000000000000002,True
18,Location,Bus every 20 minutes to the centre of Larnaka.,Positive,Bus every 20 minutes to the centre of Larnaka.,Positive,1.0000000000000002,True
18,Food,Meals well prepared and good value. ,Positive,Meals well prepared and good value.,Positive,1.0000000000000002,True
18,Price,,,"Nothing, considering the price",Negative,,False
18,Facility,,,"very bright, nice seating areas inside and out.",Positive,,False
19,Location,Close to airport,Positive,Close to airport,Positive,1.0000000000000002,True
20,Room,clean,Positive,,,,False
20,Staff,friendly stuff,Positive,friendly stuff,Positive,1.0000000000000002,True
20,Location,location,Positive,location,Positive,1.0,True
21,Room,The hotel is impressive how clean nice and comfortable it is,Positive,The hotel is impressive how clean nice and comfortable it is.,Positive,0.9999999999999996,True
21,Staff,what will bring me back is the staff and the owners. Richard (the chef) is personally buying super fresh food for the restaurant. The owners have been super kind to me :),Positive,what will bring me back is the staff and the owners. The owners have been super kind to me.,Positive,0.84063187931774,True
21,Food,Everything from breakfast to dinner is absolutely delicious.,Positive,Richard (the chef) is personally buying super fresh food for the restaurant. Everything from breakfast to dinner is absolutely delicious.,Positive,0.5253961532226684,False
22,Room,"although might have needed another set of drawers if there were two of us. Fridge could have been put on beforehand, the shower took a while to get hot,",Negative,"might have needed another set of drawers if there were two of us., Fridge could have been put on beforehand so it was cold., the shower took a while to get hot, had to have a cold shower one morning as i needed to get out early.",Negative,0.7460341589719119,True
22,Room,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean. Bed was really comfortable, lots of room for me to put my things",Positive,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean. Bed was really comfortable, lots of room for me to put my things., When you left it running for around 5 mins it got warm and was a good shower.",Positive,0.7950152172661049,True
22,Staff,,,the staff very accommodating.,Positive,,False
22,Food,"Ordered pizza one night and was not great, ",Negative,"Ordered pizza one night and was not great, too stodgy.",Negative,0.8181802073667195,True
22,Food,The restaurant area is nice and the staff very accomodating.,Positive,I'm sure other food is better.,Positive,0.07030492086459504,False
22,Facility,,,The restaurant area is nice.,Positive,,False
23,Room,the beds were very comfortable,Positive,the beds were very comfortable,Positive,1.0000000000000002,True
24,Room,I loved the mattress!!!,Positive,I loved the mattress!!!,Positive,1.0000000000000002,True
25,Room,Clean and quiet,Positive,Clean and quiet,Positive,1.0000000000000002,True
26,Room,"The rooms are a good size and are laid out very well with a good size bathroom
 The room also has a great sized balcony to take a tea/coffee and 
 chill",Positive,"The rooms are a good size and are laid out very well with a good size bathroom., The room also has a great sized balcony to take a tea/coffee and chill.",Positive,1.0,True
26,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing ,Positive,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing.,Positive,1.0000000000000002,True
26,Location,The hotel is 5 minutes from the beach and the location is also near the lake.,Positive,The hotel is 5 minutes from the beach and the location is also near the lake.,Positive,0.9999999999999998,True
26,Food,There is a great restaurant inside where the food is good and not to pricey. ,Positive,There is a great restaurant inside where the food is good and not too pricey.,Positive,0.8836351388995086,True
26,Price,,,not too pricey.,Positive,,False
27,Room,"so comfortable, clean",Positive,"so comfortable, clean",Positive,1.0000000000000002,True
27,Staff,friendly staff,Positive,friendly staff,Positive,1.0000000000000002,True
27,Location,perfect for overnight stay before flying from Larnaca Airport.,Positive,perfect for overnight stay before flying from Larnaca Airport,Positive,1.0000000000000002,True
28,Staff,Staff is very polite and caring. ,Positive,Staff is very polite and caring.,Positive,1.0000000000000002,True
28,Location,Surrounding buildings are under construction and poorly lit.,Negative,Surrounding buildings are under construction and poorly lit.,Negative,1.0000000000000002,True
29,Room,,,I would have liked an ironing board in the room.,Negative,,False
29,Room,very clean functional rooms,Positive,very clean functional rooms.,Positive,1.0,True
29,Staff,lovely and very helpful staff.,Positive,lovely and very helpful staff.,Positive,1.0000000000000002,True
30,Room,The room was spotless.,Positive,The room was spotless.,Positive,1.0,True
30,Staff,Staff were lovely. Service was great.,Positive,Staff were lovely.,Positive,0.5797386715376658,False
30,Location,Great location for restaurants. Great location for a short drive to the airport.,Positive,Great location for restaurants. Great location for a short drive to the airport.,Positive,1.0000000000000002,True
31,Room,"Clean, comfortable,",Positive,"Clean, comfortable",Positive,1.0000000000000002,True
31,Staff,friendly staff.,Positive,friendly staff,Positive,1.0000000000000002,True
31,Location,Very close to Mackenzy beach & Larnaca airport.,Positive,Very close to Mackenzy beach & Larnaca airport,Positive,1.0000000000000004,True
31,Food,Great restaurant beneath the hotel - food excellent & reasonably priced. ,Positive,Great restaurant beneath the hotel - food excellent & reasonably priced,Positive,1.0000000000000002,True
31,Price,,,reasonably priced,Positive,,False
32,Room,The bed was great. Rooms clean. ,Positive,"The bed was great., Rooms clean.",Positive,1.0000000000000002,True
32,Staff,Staff were so kind.,Positive,Staff were so kind.,Positive,1.0,True
33,Room,Little bit noisy during evening time from the street side.,Negative,Little bit noisy during evening time from the street side.,Negative,1.0000000000000007,True
33,Room,super clean room with modern furniture all together make your stay max comfortable,Positive,"super clean room with modern furniture all together make your stay max comfortable., just close the windows and start the air conditioning",Positive,0.611825679563579,False
33,Staff,Very helpful staff,Positive,Very helpful staff.,Positive,1.0000000000000002,True
33,Food,Option to have a good breakfast within the hotel save your time.,Positive,Option to have a good breakfast within the hotel save your time.,Positive,1.0000000000000002,True
33,Facility,,,choose the garden view apartments,Positive,,False
34,Room,,,more hooks on walls for towels etc.,Negative,,False
34,Staff,welcoming ,Positive,welcoming,Positive,1.0,True
34,Location,location,Positive,location,Positive,1.0,True
34,Price,value for money ,Positive,value for money,Positive,1.0000000000000002,True
35,Room,"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water.",Negative,"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water.",Negative,0.9999999999999998,True
36,Room,The room was smaller than I expected but as we were only there a few days it was acceptable. I am very fussy about beds and pillows,Negative,The room was smaller than I expected but as we were only there a few days it was acceptable.,Negative,0.7607799383552556,True
36,Room,"I had no problem as they were very clean, and the bed was really comfortable.",Positive,"I am very fussy about beds and pillows, but I had no problem as they were very clean, and the bed was really comfortable.",Positive,0.7576832018547038,True
36,Staff,The receptionist on check in was very good and explained the information very clearly to us.,Positive,"The receptionist on check in was very good and explained the information very clearly to us., The chef was very polite, and his food was excellent, he had passion and it showed in his presentation.",Positive,0.7406512267062902,True
36,Location,"we were surprised at the location in a small side street,",Negative,,,,False
36,Location,but it was only a 10-minute walk to the sea front.,Positive,it was only a 10-minute walk to the sea front.,Positive,0.9138106509294464,True
36,Food,We may have missed it but there was no opening and closing times of the bar on display.,Negative,,,,False
36,Food,"The chef was very polite, and his food was excellent, he had passion and it showed in his presentation.",Positive,"his food was excellent, he had passion and it showed in his presentation.",Positive,0.8164778123182334,True
36,Facility,,,"there was no opening and closing times of the bar on display., not showing opening times.",Negative,,False
36,Check-in,,,The receptionist on check in was very good and explained the information very clearly to us.,Positive,,False
37,Room,Really clean,Positive,Really clean,Positive,1.0000000000000002,True
37,Staff,lovely caring staff.,Positive,lovely caring staff,Positive,1.0000000000000002,True
37,Location,,,The bus to the airport is close by and runs every 15 minutes.,Positive,,False
37,Food,food was good too!,Positive,food was good too,Positive,1.0,True
38,Room,great rooms - nice and cool,Positive,great rooms - nice and cool,Positive,1.0000000000000002,True
39,Room,It was really clean and spacious,Positive,It was really clean and spacious.,Positive,1.0000000000000002,True
40,Room,"there was no net curtain or blind so one needed to ensure that the curtain was closed,",Negative,"there was no net curtain or blind so one needed to ensure that the curtain was closed, especially when going for a shower as the room is opposite some apartments that have a clear view into the room",Negative,0.6371910955889442,False
40,Location,"Nice location, not far from Airport and Mackenzie beach.",Positive,"Nice location, not far from Airport and Mackenzie beach.",Positive,1.0000000000000002,True
41,Room,"Clean modern rooms, ",Positive,Clean modern rooms.,Positive,1.0000000000000002,True
41,Staff,Super friendly and helpful staff.,Positive,Super friendly and helpful staff.,Positive,1.0000000000000002,True
41,Location,"A good location 5 lins away from the airport by car, 5 mins walk to the beach. ",Positive,"A good location 5 mins away from the airport by car, 5 mins walk to the beach.",Positive,0.9153234513472284,True
41,Food,,,"the kitchen shuts at 22:30 or so, and there is no food to be had afterwards.",Negative,,False
41,Food,very nice breakfast.,Positive,very nice breakfast.,Positive,1.0000000000000002,True
42,Room,clean,Positive,clean,Positive,1.0,True
42,Staff,"hospitality, ",Positive,hospitality,Positive,1.0,True
43,Room,clean spacious practical,Positive,clean spacious practical,Positive,1.0000000000000002,True
44,Staff,Was met with a warm welcome at reception and then again by the dining staff.,Positive,Was met with a warm welcome at reception and then again by the dining staff.,Positive,1.0000000000000007,True
44,Location,,,Outside was a bit noisy later in the evening.,Negative,,False
44,Price,"The facilities were really good, particularly for the tariff charged.",Positive,particularly for the tariff charged.,Positive,0.6728984701822545,False
44,Facility,"The facilities were really good,",Positive,The facilities were really good.,Positive,1.0000000000000002,True
45,Room,"Recently updated, everything was me and clean.",Positive,"Recently updated, everything was me and clean.",Positive,1.0000000000000004,True
45,Location,There is a bit of plane noise in the afternoon and evening because it is right near the takeoff end of the runway,Negative,"There is a bit of plane noise in the afternoon and evening because it is right near the takeoff end of the runway, but next to no departures in the morning, so not a problem.",Negative,0.8231080692840961,True
45,Location,The beach is about 5 minutes walk away.,Positive,The beach is about 5 minutes walk away.,Positive,1.0000000000000004,True
45,Food,"Restaurant was a surprise hit: good food, very reasonably priced, so an easy choice to eat at the hotel when we wouldn't usually.",Positive,"Restaurant was a surprise hit: good food, very reasonably priced.",Positive,0.5094317156983345,False
45,Price,,,very reasonably priced.,Positive,,False
46,Price,Great value for money,Positive,Great value for money,Positive,1.0,True
47,Staff,very helpful staff who organised a taxi to collect us in the morning.,Positive,very helpful staff who organised a taxi to collect us in the morning.,Positive,1.0000000000000002,True
47,Price,Good value for money.,Positive,Good value for money.,Positive,1.0,True
48,Room,Clean and comfortable rooms,Positive,Clean and comfortable rooms.,Positive,1.0,True
48,Staff,lovely owner,Positive,lovely owner.,Positive,1.0000000000000002,True
49,Room,The 2 rooms were big enough for a family of 5.,Positive,The 2 rooms were big enough for a family of 5.,Positive,1.0000000000000002,True
49,Location,Great location close to the airport and a short walk to the sea.,Positive,Great location close to the airport and a short walk to the sea.,Positive,1.0,True
49,Price,Great value for money.,Positive,Great value for money.,Positive,1.0,True
50,Room,Not very Soundproof,Negative,Not very Soundproof,Negative,1.0000000000000002,True
50,Location,Great little hotel close to airport,Positive,close to airport,Positive,0.5797386715376657,False
50,Facility,,,Great little hotel,Positive,,False
51,Room,"nice clean room, very well kept ",Positive,"nice clean room, very well kept.",Positive,1.0000000000000002,True
51,Staff,staff very helpful and friendly. ,Positive,staff very helpful and friendly.,Positive,1.0000000000000002,True
51,Location,"Near airport,",Positive,Near airport.,Positive,1.0000000000000002,True
51,Food,good food,Positive,good food.,Positive,1.0000000000000002,True
53,Room,"nice, renovated hotel, comfortable bed",Positive,comfortable bed,Positive,0.5023287782256719,False
53,Location,"close to the airport and Mackenzie Beach,",Positive,close to the airport and Mackenzie Beach,Positive,1.0000000000000004,True
53,Food,"delicious breakfasts in the hotel restaurant,",Positive,delicious breakfasts in the hotel restaurant,Positive,1.0000000000000002,True
53,Facility,,,"nice, renovated hotel",Positive,,False
54,Room,Very nice and clean room.,Positive,Very nice and clean room.,Positive,1.0000000000000002,True
55,Room,,,A lot of mosquitos.,Negative,,False
55,Location,Good for airport transfers,Positive,Good for airport transfers,Positive,1.0,True
56,Room,beds are extremely comfortable ,Positive,beds are extremely comfortable,Positive,1.0,True
56,Staff,amazing hospitality from the staff.,Positive,amazing hospitality from the staff,Positive,1.0000000000000002,True
56,Location,"Perfect place to stay for early morning / late night flights as it’s situated within 5 minutes from the airport. given that a lot of guests book here for its prime location near the airport,",Positive,"Perfect place to stay for early morning / late night flights as it’s situated within 5 minutes from the airport., prime location near the airport",Positive,0.796215836878497,True
56,Food,,,it would’ve been great if breakfast started at 7 rather than 8,Negative,,False
56,Facility,,,everything was perfect for one night's stay,Positive,,False
57,Room,"Very clean, very comfortable room.",Positive,"Very clean, very comfortable room.",Positive,1.0000000000000004,True
57,Staff,Staff was extremely helpful.,Positive,Staff was extremely helpful. They ordered a taxi for us to get to the airport very early in the morning.,Positive,0.31034315733755097,False
57,Location,"We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from.",Positive,"We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from.",Positive,1.000000000000001,True
58,Room,The room wasn't soundproof so you can hear the planes.,Negative,The room wasn't soundproof so you can hear the planes.,Negative,1.0000000000000002,True
58,Staff,the staff were nice and helpful.,Positive,the staff were nice and helpful.,Positive,1.0000000000000002,True
58,Location,"Close to the airport, ",Positive,Close to the airport.,Positive,1.0,True
59,Location,Close to airport so very convenient for overnight stay.,Positive,Close to airport so very convenient for overnight stay.,Positive,1.0000000000000002,True
59,Check-in,very easy to check-in if you arrive late at night,Positive,very easy to check-in if you arrive late at night.,Positive,1.0000000000000002,True
