ID,Topics,Text_answer,NegPos_answer,NegPos_output,Text_output,Topic_Match
1,Food,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Positive,Positive,"Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday.",True
1,Location,"close to the airport, to very clean beach.",Positive,Positive,"close to the airport, to very clean beach.",True
1,Room,,,Positive,"New, comfortable apartments.",False
1,Staff,Staff is extremely helpful and easy to communicate with ,Positive,Positive,Staff is extremely helpful and easy to communicate with.,True
2,Facility,,,Positive,"I like hotels with a family atmosphere, cozy and not big.",False
2,Food,"Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great, and all staff was very kind and helpful.",Positive,Positive,"The breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great.",True
2,Room,,,Negative,although not big.,False
2,Room,"The room was very clean, well decorated and modern, although not big.",Positive,Positive,"The room was very clean, well decorated and modern.",True
2,Staff,The staff was very nice and helpful!,Positive,Positive,The staff was very nice and helpful! all staff was very kind and helpful.,True
3,Location,the location is great and near the airport. bus stop is very close.,Positive,Positive,the location is great and near the airport. bus stop is very close.,True
4,Price,,,Positive,Great Quality/price,False
4,Room,,,Positive,Clean,False
4,Staff,Great stuff,Positive,Positive,Great stuff,True
5,Location,in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.,Positive,Positive,in a very convenient location. An easy stroll to numerous nice restaurants and a great beach.,True
5,Room,Clean and modern with very comfortable beds,Positive,Positive,Clean and modern with very comfortable beds.,True
6,Room,The room was exceptionally clean with a really comfortable bed,Positive,Positive,The room was exceptionally clean with a really comfortable bed.,True
8,Facility,,,Positive,renovated,False
8,Location,nice location,Positive,Positive,nice location,True
8,Staff,lovely personal,Positive,Positive,lovely personal,True
9,Food,,,Negative,couldn't eat breakfast due to dietary restrictions,False
9,Location,,,Positive,nearby bus takes to town-centre (and airport by the way so no need for 21 euro taxi),False
9,Price,,,Positive,no need for 21 euro taxi,False
9,Staff,very helpful host showed us how nearby bus takes to town-cntre ,Positive,Positive,very helpful host showed us how nearby bus takes to town-centre (and airport by the way so no need for 21 euro taxi),True
10,Location,quiet location,Positive,Positive,quiet location.,True
10,Room,Great modern room comfortable bed,Positive,Positive,Great modern room comfortable bed.,True
11,Food,Oh yeah the food is great to and very reasonable prices ..,Positive,Positive,the food is great too and very reasonable prices.,True
11,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros,Positive,Positive,The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros.,True
11,Room,The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.,Positive,Positive,The rooms are spacious and clean great to stay. I even got an upgrade which is always so nice.,True
11,Staff,"The staff here are amazing beyond expectations..*****
 Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
 Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Even the cleaning lady is so friendly and so nice to talk to. The owners are also great it's like a real caring family set up ...",Positive,Positive,"The staff here are amazing beyond expectations., Maria at reception is just great she really took time to explain where to go how to get there and so helpful., Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent smile., Even the cleaning lady is so friendly and so nice to talk to., The owners are also great it's like a real caring family set up.",True
12,Food,The breakfast was lovely with room service too.,Positive,Positive,The breakfast was lovely with room service too.,True
12,Room,Very clean and comfortable.,Positive,Positive,Very clean and comfortable.,True
12,Staff,The staff were exceptional. So helpful and friendly. Went out of their way for us.,Positive,Positive,The staff were exceptional. So helpful and friendly. Went out of their way for us.,True
13,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",Positive,Positive,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",True
13,Room,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.",Positive,Positive,"The rooms are lovely and new, very clean and comfortable. The mattress was to my taste.",True
13,Staff,"The staff are so welcoming, we felt like staying with family.",Positive,Positive,"The staff are so welcoming, we felt like staying with family.",True
14,Facility,,,Negative,"you have a feeling that people are living in the hotel, rather than staying at a hotel.",False
14,Location,,,Negative,You can hear the airplanes coming and leaving from the airport all the time.,False
14,Location,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair. There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,Positive,Positive,"close to the airport and this hotel did that purpose more than fair., There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.",True
14,Room,You can hear the airplanes coming and leaving from the airport all the time,Negative,,,False
14,Staff,The receptionist didn't speak English properly,Negative,Negative,The receptionist didn't speak English properly.,True
15,Location,,,Negative,it is a bit on the edge of Larnaca,False
15,Location,"it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",Positive,Positive,"reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach., with frequent busses to the centre.",True
15,Staff,,,Positive,The staff make it - particularly reception and the dining room.,False
16,Food,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",Positive,Positive,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",True
16,Room,"I liked the rooms- they are spacious, clean, the window view is nice too.",Positive,Positive,"I liked the rooms- they are spacious, clean, the window view is nice too.",True
17,Room,Our room had a balcony with great view of the sea and surrounding area.,Positive,Positive,Our room had a balcony with great view of the sea and surrounding area.,True
17,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,Positive,Positive,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,True
18,Facility,,,Positive,"very bright, nice seating areas inside and out.",False
18,Food,Meals well prepared and good value. ,Positive,Positive,Meals well prepared and good value.,True
18,Location,Bus every 20 minutes to the centre of Larnaka.,Positive,Positive,Bus every 20 minutes to the centre of Larnaka.,True
18,Price,,,Negative,"Nothing, considering the price",False
18,Staff,"extremely friendly reception and dining staff,",Positive,Positive,extremely friendly reception and dining staff,True
19,Location,Close to airport,Positive,Positive,Close to airport,True
20,Location,location,Positive,,,False
20,Room,clean,Positive,,,False
20,Staff,friendly stuff,Positive,Positive,friendly stuff,True
21,Food,Everything from breakfast to dinner is absolutely delicious.,Positive,Positive,Richard (the chef) is personally buying super fresh food for the restaurant. Everything from breakfast to dinner is absolutely delicious.,True
21,Room,The hotel is impressive how clean nice and comfortable it is,Positive,Positive,The hotel is impressive how clean nice and comfortable it is.,True
21,Staff,what will bring me back is the staff and the owners. Richard (the chef) is personally buying super fresh food for the restaurant. The owners have been super kind to me :),Positive,Positive,what will bring me back is the staff and the owners. The owners have been super kind to me.,True
22,Facility,,,Positive,The restaurant area is nice.,False
22,Food,"Ordered pizza one night and was not great, ",Negative,Negative,"Ordered pizza one night and was not great, too stodgy.",True
22,Food,The restaurant area is nice and the staff very accomodating.,Positive,Positive,I'm sure other food is better.,True
22,Room,"although might have needed another set of drawers if there were two of us. Fridge could have been put on beforehand, the shower took a while to get hot,",Negative,Negative,"might have needed another set of drawers if there were two of us., Fridge could have been put on beforehand so it was cold., the shower took a while to get hot, had to have a cold shower one morning as i needed to get out early.",True
22,Room,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean. Bed was really comfortable, lots of room for me to put my things",Positive,Positive,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean., Bed was really comfortable, lots of room for me to put my things., When you left it running for around 5 mins it got warm and was a good shower.",True
22,Staff,,,Positive,the staff very accommodating.,False
23,Room,the beds were very comfortable,Positive,Positive,the beds were very comfortable,True
24,Room,I loved the mattress!!!,Positive,Positive,I loved the mattress!!!,True
25,Room,Clean and quiet,Positive,Positive,Clean and quiet,True
26,Check-out,,,Positive,Leaving..in fact just re booked the hotel for 2 weeks time,False
26,Food,There is a great restaurant inside where the food is good and not to pricey. ,Positive,Positive,There is a great restaurant inside where the food is good and not to pricey.,True
26,Location,The hotel is 5 minutes from the beach and the location is also near the lake.,Positive,Positive,The hotel is 5 minutes from the beach and the location is also near the lake.,True
26,Price,,,Positive,not to pricey.,False
26,Room,"The rooms are a good size and are laid out very well with a good size bathroom
 The room also has a great sized balcony to take a tea/coffee and 
 chill",Positive,Positive,"The rooms are a good size and are laid out very well with a good size bathroom., The room also has a great sized balcony to take a tea/coffee and chill.",True
26,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing ,Positive,Positive,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing.,True
27,Location,perfect for overnight stay before flying from Larnaca Airport.,Positive,Positive,perfect for overnight stay before flying from Larnaca Airport,True
27,Room,"so comfortable, clean",Positive,Positive,"so comfortable, clean",True
27,Staff,friendly staff,Positive,Positive,friendly staff,True
28,Location,Surrounding buildings are under construction and poorly lit.,Negative,Negative,Surrounding buildings are under construction and poorly lit.,True
28,Staff,Staff is very polite and caring. ,Positive,Positive,Staff is very polite and caring.,True
29,Room,,,Negative,I would have liked an ironing board in the room.,False
29,Room,very clean functional rooms,Positive,Positive,very clean functional rooms.,True
29,Staff,lovely and very helpful staff.,Positive,Positive,lovely and very helpful staff.,True
30,Location,Great location for restaurants. Great location for a short drive to the airport.,Positive,Positive,Great location for restaurants. Great location for a short drive to the airport.,True
30,Room,The room was spotless.,Positive,Positive,The room was spotless.,True
30,Staff,Staff were lovely. Service was great.,Positive,Positive,Staff were lovely. Service was great.,True
31,Food,Great restaurant beneath the hotel - food excellent & reasonably priced. ,Positive,Positive,Great restaurant beneath the hotel - food excellent & reasonably priced.,True
31,Location,Very close to Mackenzy beach & Larnaca airport.,Positive,Positive,Very close to Mackenzy beach & Larnaca airport.,True
31,Room,"Clean, comfortable,",Positive,Positive,"Clean, comfortable",True
31,Staff,friendly staff.,Positive,Positive,friendly staff,True
32,Room,The bed was great. Rooms clean. ,Positive,Positive,"The bed was great., Rooms clean.",True
32,Staff,Staff were so kind.,Positive,Positive,Staff were so kind.,True
33,Facility,,,Positive,choose the garden view apartments,False
33,Food,Option to have a good breakfast within the hotel save your time.,Positive,Positive,Option to have a good breakfast within the hotel save your time.,True
33,Room,Little bit noisy during evening time from the street side.,Negative,Negative,Little bit noisy during evening time from the street side.,True
33,Room,super clean room with modern furniture all together make your stay max comfortable,Positive,Positive,"super clean room with modern furniture all together make your stay max comfortable., just close the windows and start the air conditioning",True
33,Staff,Very helpful staff,Positive,Positive,Very helpful staff.,True
34,Location,location,Positive,,,False
34,Price,value for money ,Positive,,,False
34,Room,,,Negative,more hooks on walls for towels etc.,False
34,Staff,welcoming ,Positive,,,False
35,Room,"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water.",Negative,Negative,"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water.",True
36,Facility,,,Negative,"there was no opening and closing times of the bar on display., not showing opening times.",False
36,Food,We may have missed it but there was no opening and closing times of the bar on display.,Negative,,,False
36,Food,"The chef was very polite, and his food was excellent, he had passion and it showed in his presentation.",Positive,Positive,"his food was excellent, he had passion and it showed in his presentation.",True
36,Location,"we were surprised at the location in a small side street,",Negative,,,False
36,Location,but it was only a 10-minute walk to the sea front.,Positive,Positive,it was only a 10-minute walk to the sea front.,True
36,Room,The room was smaller than I expected but as we were only there a few days it was acceptable. I am very fussy about beds and pillows,Negative,Negative,The room was smaller than I expected but as we were only there a few days it was acceptable.,True
36,Room,"I had no problem as they were very clean, and the bed was really comfortable.",Positive,Positive,"I am very fussy about beds and pillows, but I had no problem as they were very clean, and the bed was really comfortable.",True
36,Staff,The receptionist on check in was very good and explained the information very clearly to us.,Positive,Positive,"The receptionist on check in was very good and explained the information very clearly to us., The chef was very polite, and his food was excellent, he had passion and it showed in his presentation.",True
37,Food,food was good too!,Positive,Positive,food was good too,True
37,Location,,,Positive,The bus to the airport is close by and runs every 15 minutes.,False
37,Room,Really clean,Positive,Positive,Really clean,True
37,Staff,lovely caring staff.,Positive,Positive,lovely caring staff,True
38,Room,great rooms - nice and cool,Positive,Positive,great rooms - nice and cool,True
39,Room,It was really clean and spacious,Positive,Positive,It was really clean and spacious.,True
40,Location,"Nice location, not far from Airport and Mackenzie beach.",Positive,Positive,"Nice location, not far from Airport and Mackenzie beach.",True
40,Room,"there was no net curtain or blind so one needed to ensure that the curtain was closed,",Negative,Negative,"there was no net curtain or blind so one needed to ensure that the curtain was closed, especially when going for a shower as the room is opposite some apartments that have a clear view into the room",True
41,Food,,,Negative,"the kitchen shuts at 22:30 or so, and there is no food to be had afterwards.",False
41,Food,very nice breakfast.,Positive,Positive,very nice breakfast.,True
41,Location,"A good location 5 lins away from the airport by car, 5 mins walk to the beach. ",Positive,Positive,"A good location 5 mins away from the airport by car, 5 mins walk to the beach.",True
41,Room,"Clean modern rooms, ",Positive,Positive,Clean modern rooms.,True
41,Staff,Super friendly and helpful staff.,Positive,Positive,Super friendly and helpful staff.,True
42,Room,clean,Positive,Positive,clean,True
42,Staff,"hospitality, ",Positive,,,False
43,Room,clean spacious practical,Positive,Positive,clean spacious practical,True
44,Facility,"The facilities were really good,",Positive,Positive,The facilities were really good.,True
44,Location,,,Negative,Outside was a bit noisy later in the evening.,False
44,Price,"The facilities were really good, particularly for the tariff charged.",Positive,Positive,particularly for the tariff charged.,True
44,Staff,Was met with a warm welcome at reception and then again by the dining staff.,Positive,Positive,"Was met with a warm welcome at reception., then again by the dining staff.",True
45,Facility,,,Positive,"Recently updated, everything was new and clean.",False
45,Food,"Restaurant was a surprise hit: good food, very reasonably priced, so an easy choice to eat at the hotel when we wouldn't usually.",Positive,Positive,"Restaurant was a surprise hit: good food, very reasonably priced, so an easy choice to eat at the hotel when we wouldn't usually.",True
45,Location,There is a bit of plane noise in the afternoon and evening because it is right near the takeoff end of the runway,Negative,Negative,right near the takeoff end of the runway,True
45,Location,The beach is about 5 minutes walk away.,Positive,Positive,The beach is about 5 minutes walk away.,True
45,Room,"Recently updated, everything was me and clean.",Positive,,,False
46,Price,Great value for money,Positive,Positive,Great value for money,True
47,Price,Good value for money.,Positive,Positive,Good value for money.,True
47,Staff,very helpful staff who organised a taxi to collect us in the morning.,Positive,Positive,very helpful staff who organised a taxi to collect us in the morning.,True
48,Room,Clean and comfortable rooms,Positive,Positive,Clean and comfortable rooms.,True
48,Staff,lovely owner,Positive,Positive,lovely owner.,True
49,Location,Great location close to the airport and a short walk to the sea.,Positive,Positive,Great location close to the airport and a short walk to the sea.,True
49,Price,Great value for money.,Positive,Positive,Great value for money.,True
49,Room,The 2 rooms were big enough for a family of 5.,Positive,Positive,The 2 rooms were big enough for a family of 5.,True
50,Facility,,,Positive,Great little hotel,False
50,Location,Great little hotel close to airport,Positive,Positive,close to airport,True
50,Room,Not very Soundproof,Negative,Negative,Not very soundproof.,True
51,Food,good food,Positive,Positive,good food.,True
51,Location,"Near airport,",Positive,Positive,Near airport.,True
51,Room,"nice clean room, very well kept ",Positive,Positive,"nice clean room, very well kept.",True
51,Staff,staff very helpful and friendly. ,Positive,Positive,staff very helpful and friendly.,True
53,Facility,,,Positive,"nice, renovated hotel",False
53,Food,"delicious breakfasts in the hotel restaurant,",Positive,Positive,delicious breakfasts in the hotel restaurant,True
53,Location,"close to the airport and Mackenzie Beach,",Positive,Positive,close to the airport and Mackenzie Beach,True
53,Room,"nice, renovated hotel, comfortable bed",Positive,Positive,comfortable bed,True
54,Room,Very nice and clean room.,Positive,Positive,Very nice and clean room.,True
55,Facility,,,Negative,A lot of mosquitos.,False
55,Location,Good for airport transfers,Positive,Positive,Good for airport transfers,True
56,Facility,,,Positive,everything was perfect for one night's stay,False
56,Food,,,Negative,it would’ve been great if breakfast started at 7 rather than 8,False
56,Location,"Perfect place to stay for early morning / late night flights as it’s situated within 5 minutes from the airport. given that a lot of guests book here for its prime location near the airport,",Positive,Positive,"Perfect place to stay for early morning / late night flights as it’s situated within 5 minutes from the airport., prime location near the airport",True
56,Room,beds are extremely comfortable ,Positive,Positive,beds are extremely comfortable,True
56,Staff,amazing hospitality from the staff.,Positive,Positive,amazing hospitality from the staff,True
57,Location,"We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from.",Positive,Positive,"We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from.",True
57,Room,"Very clean, very comfortable room.",Positive,Positive,"Very clean, very comfortable room.",True
57,Staff,Staff was extremely helpful.,Positive,Positive,Staff was extremely helpful. They ordered a taxi for us to get to the airport very early in the morning.,True
58,Location,"Close to the airport, ",Positive,Positive,Close to the airport.,True
58,Room,The room wasn't soundproof so you can hear the planes.,Negative,Negative,The room wasn't soundproof so you can hear the planes.,True
58,Staff,the staff were nice and helpful.,Positive,Positive,the staff were nice and helpful.,True
59,Check-in,very easy to check-in if you arrive late at night,Positive,Positive,very easy to check-in if you arrive late at night.,True
59,Location,Close to airport so very convenient for overnight stay.,Positive,Positive,Close to airport so very convenient for overnight stay.,True
60,Check-in,clear instructions left access to our room made easy ,Positive,Positive,Arrived in the early hours,True
60,Room,,,Positive,clear instructions left access to our room made easy,False
61,Food,Excellent range of food offered,Positive,Positive,Excellent range of food offered.,True
61,Room,,,Positive,no issues for overnight stay,False
61,Staff,good service.,Positive,Positive,good service.,True
62,Food,Restaurant on site,Positive,Positive,Restaurant on site,True
62,Location,"Comfortable location near the airport, and near the beach.",Positive,Positive,"Comfortable location near the airport, and near the beach.",True
62,Room,,,Negative,Our son had a folding bed which could have been better.,False
62,Room,"Comfortable beds, the best linen and duvets I had
  in my entire 10 day trip.
 In room mini bar+ tea/ coffee. Clean modern bathroom.
 Good AC.",Positive,Positive,"Comfortable beds, the best linen and duvets I had in my entire 10 day trip., In room mini bar+ tea/ coffee, Clean modern bathroom., Good AC., how comfortable the regular beds were.",True
62,Staff,Caring and helpful host.,Positive,Positive,Caring and helpful host.,True
63,Facility,,,Positive,It’s been renovated to an exceptionally high standard and it really is well up to 4* standard.,False
63,Price,Exceptional value .,Positive,Positive,Exceptional value.,True
64,Food,,,Positive,"Even though the kitchen was closing, they made us a pizza which was really nice.",False
64,Location,,,Positive,"The hotel is located in a close proximity to the airport (5 min by car or 10 min by bus)., the hotel is really close to the airport",False
64,Room,you can hear all the noise from the planes.,Negative,,,False
64,Room,"The room was new and clean, ",Positive,Positive,The room was new and clean.,True
64,Staff,the staff reached out in advance and provided us with the detailed instructions of how to get to the room when reception closes.,Positive,Positive,the staff reached out in advance and provided us with the detailed instructions of how to get to the room when reception closes.,True
65,Food,the food and staff were really good.,Positive,Positive,the food was really good.,True
65,Location,Location was great and easy to get to and from.,Positive,Positive,Location was great and easy to get to and from.,True
65,Room,"The property was clean, bed was comfortable ",Positive,Positive,"The property was clean, bed was comfortable.",True
65,Staff,the food and staff were really good.,Positive,Positive,the staff were really good.,True
66,Facility,The entrance to the hotel is welcoming ,Positive,Positive,"The entrance to the hotel is welcoming and the bar and coffee shop chic., The place was spotless and very comfortable.",True
66,Food,the bar and coffee shop chic,Positive,Positive,The fish and steak restaurant around the corner was also great value and friendly.,True
66,Location,The location was perfect for the airport as we were flying out to uk. ,Positive,Positive,The location was perfect for the airport as we were flying out to uk.,True
66,Room,The place was spotless and very comfortable. ,Positive,Positive,The place was spotless and very comfortable.,True
66,Staff,The gentleman in reception was very friendly and had a lovely smile. ,Positive,Positive,The gentleman in reception was very friendly and had a lovely smile.,True
67,Staff,friendly staff,Positive,Positive,friendly staff,True
68,Price,"good value, ",Positive,Positive,good value,True
68,Room,clean,Positive,Positive,clean,True
68,Staff,Friendly,Positive,Positive,Friendly,True
69,Location,,,Positive,The place,False
69,Price,,,Positive,such a price,False
69,Room,The place and the people are lovely,Positive,,,False
69,Staff,The place and the people are lovely,Positive,Positive,the people are lovely,True
70,Room,Peaceful and clean ,Positive,Positive,Peaceful and clean,True
70,Staff,friendly helpful staff,Positive,Positive,friendly helpful staff,True
71,Check-in,Got very clear instructions how to get access to our room. ,Positive,,,False
71,Location,"there is no shop or pharmacy in the area, ",Negative,Negative,there is no shop or pharmacy in the area.,True
71,Location,,,Positive,"The bus stop with direct access to the airport is a few steps from the accommodation. the airport can be reached in a few minutes. at the same time, Mackenzie beach is also easily accessible on foot.",False
71,Staff,The staff of the hotel is extremely friendly and nice.,Positive,Positive,Got very clear instructions how to get access to our room. The staff of the hotel is extremely friendly and nice.,True
72,Check-in,I received very clear instructions how to enter the hotel and access my room.,Positive,,,False
72,Staff,,,Positive,I received very clear instructions how to enter the hotel and access my room.,False
73,Room,wonderful room.,Positive,Positive,wonderful room.,True
73,Staff,Lovely staff doing best to assist always. ,Positive,Positive,Lovely staff doing best to assist always.,True
74,Food,there is a restaurant in the hotel with delicious food. ,Positive,Positive,there is a restaurant in the hotel with delicious food.,True
74,Location,"The hotel is based on a quiet place near to the airport, beach and the Salt Lake in the city. The location is excellent, as there are lots of parking places around",Positive,Positive,"The hotel is based on a quiet place near to the airport, beach and the Salt Lake in the city. The location is excellent, as there are lots of parking places around, as well.",True
74,Room,"very clean and cozy ones, with comfortable beds.",Positive,Positive,"very clean and cozy ones, with comfortable beds.",True
74,Staff,The staff of the hotel is extremely friendly and nice.,Positive,Positive,The staff of the hotel is extremely friendly and nice.,True
75,Room,Disappointed we didn't have a balcony,Negative,Negative,Disappointed we didn't have a balcony.,True
76,Location,perfect location nearby the beach,Positive,Positive,perfect location nearby the beach.,True
76,Room,Feels new and clean ,Positive,Positive,Feels new and clean.,True
77,Staff,The staff is very VERY helpful and eager to assist,Positive,Positive,The staff is very VERY helpful and eager to assist.,True
78,Room,"clean, nice room, big bathroom",Positive,Positive,"clean, nice room, big bathroom",True
78,Staff,Nice friendly staff.,Positive,Positive,Nice friendly staff.,True
79,Room,New clean setup,Positive,Positive,New clean setup,True
79,Staff,friendly helpful staff,Positive,Positive,friendly helpful staff,True
80,Facility,,,Positive,It is a new hotel.,False
80,Food, We had dinner. It was delicious and inexpensive.,Positive,Positive,It was delicious and inexpensive.,True
80,Location, Mc Kenzie Beach within walking distance.,Positive,Positive,Mc Kenzie Beach within walking distance.,True
80,Room,It is a new hotel. Everything was clean. ,Positive,Positive,Everything was clean.,True
81,Facility,No 24 hour reception so not easy to access entry at odd hours.,Negative,Negative,No 24 hour reception so not easy to access entry at odd hours.,True
81,Location,Close to the airport ,Positive,Positive,Close to the airport.,True
81,Room,"clean spacious rooms. Quaint, comfortable bright room with great WiFi and AC.",Positive,Positive,clean spacious rooms.,True
82,Location, great location,Positive,Positive,great location,True
82,Room," super clean 
 modern ",Positive,Positive,"super clean, modern",True
82,Staff,Amazing staff ,Positive,Positive,Amazing staff,True
83,Location,The location was a little bit far from the centre.,Negative,Negative,The location was a little bit far from the centre.,True
83,Room,Room was clean and comfortable.,Positive,Positive,Room was clean and comfortable.,True
83,Staff,Staff was very nice and friendly.,Positive,Positive,Stuff was very nice and friendly.,True
84,Facility,"they did not a have pool, ",Negative,Negative,they did not have a pool.,True
84,Facility,Every thing was spotless clean everywhere too.  had plenty of chairs to sit on outside in the garden which also was spotlessly clean everywhere too.,Positive,Positive,"Every thing was spotless clean in the breakfast room., had plenty of chairs to sit on outside in the garden which also was spotlessly clean everywhere.",True
84,Food,The breakfast was very good plenty of selection ,Positive,Positive,The breakfast was very good plenty of selection.,True
84,Staff,"very good staff serving you as a values customer and so very polite and caring at all times. Could not seem to do enough for their guests, ",Positive,Positive,very good staff serving you as a valued customer and so very polite and caring at all times. Could not seem to do enough for their guests.,True
85,Check-in,,,Positive,So they finished the cleaning after our complaint.,False
85,Food,"Good food in the restaurant downstairs,",Positive,Positive,Good food in the restaurant downstairs,True
85,Room,The room wasn't clean when we checked in. ,Negative,Negative,The room wasn't clean when we checked in.,True
85,Staff, friendly personnel. So they finished the cleaning after our complaint,Positive,Positive,friendly personnel,True
86,Facility,,,Positive,Lovely little hotel.,False
86,Food, Breakfast was excellent.,Positive,Positive,Breakfast was excellent.,True
86,Staff,Lovely little hotel with very friendly staff. ,Positive,Positive,very friendly staff.,True
87,Food,nice restaurant.,Positive,Positive,nice restaurant,True
87,Staff,Super friendly staff,Positive,Positive,Super friendly staff,True
88,Location,Good location and easily reached from the airport.,Positive,Positive,Good location and easily reached from the airport.,True
88,Room,Clean comfortable little hotel.,Positive,Positive,Clean comfortable little hotel.,True
88,Staff,Lovely friendly staff.,Positive,Positive,Lovely friendly staff.,True
89,Check-in,instructions for access were sent in advance and absolutely perfect. ,Positive,Positive,instructions for access were sent in advance and absolutely perfect.,True
89,Room,"a clean, comfortable bed within minutes of arrival.",Positive,Positive,"clean, comfortable bed",True
90,Facility,parking not always easy,Negative,Negative,parking not always easy.,True
90,Location,position,Positive,Positive,position,True
90,Room,very clean,Positive,Positive,very clean,True
90,Staff,staff,Positive,Positive,staff,True
91,Location,Close to Larnaca airport. ,Positive,Positive,Close to Larnaca airport.,True
91,Room, Very nice rooms that were very clean. ,Positive,Positive,Very nice rooms that were very clean.,True
91,Staff," helpful, friendly staff.",Positive,Positive,"helpful, friendly staff.",True
92,Check-in,"we did late night check in, that was super easy and comfortable",Positive,Positive,"we did late night check in, that was super easy and comfortable.",True
92,Room,it was a bit badly soundproofed,Negative,Negative,it was a bit badly soundproofed,True
93,Food,Nice restaurant in the same building very welcoming with nice offer.,Positive,Positive,Nice restaurant in the same building very welcoming with nice offer.,True
93,Location,,,Negative,The location of the place is more a waiting position for your next flight at the Larnaka airport than a beach stay.,False
93,Location,,,Positive,Bus stop for the airport walkable.,False
93,Room,"New room, very comfortable. ",Positive,Positive,"New room, very comfortable.",True
93,Staff,,,Positive,Francais parlé parfaitement.,False
94,Facility,modern facility ,Positive,Positive,modern facility.,True
94,Food,very tasty food with a super service at the restaurant by the hotel.,Positive,Positive,very tasty food with a super service at the restaurant by the hotel.,True
94,Staff,"Amazing staff,",Positive,Positive,Amazing staff.,True
95,Facility,,,Positive,clean and quiet,False
95,Location,perfect location for the airport,Positive,Positive,perfect location for the airport,True
95,Room,clean and quiet,Positive,,,False
96,Room,some of the towels were dirty,Negative,Negative,some of the towels were dirty.,True
